ID_REF,IDENTIFIER,GSM1068478,GSM1068479,GSM1068481,GSM1068482,GSM1068483,GSM1068486,GSM1068487,GSM1068488,GSM1068490,GSM1068491,GSM1068492,GSM1068493,GSM1068494,GSM1068495,GSM1068496,GSM1068498,GSM1068499,GSM1068500,GSM1068502,GSM1068503,GSM1068505,GSM1068506,GSM1068507,GSM1068508,GSM1068510,GSM1068512,GSM1068513,GSM1068514,GSM1068517,GSM1068518,GSM1068520,GSM1068521,GSM1068522,GSM1068524,GSM1068527,GSM1068480,GSM1068484,GSM1068485,GSM1068489,GSM1068497,GSM1068501,GSM1068504,GSM1068509,GSM1068511,GSM1068515,GSM1068516,GSM1068519,GSM1068523,GSM1068525,GSM1068526,GSM1068458,GSM1068459,GSM1068460,GSM1068461,GSM1068464,GSM1068468,GSM1068472,GSM1068473,GSM1068474,GSM1068476,GSM1068477,GSM1068462,GSM1068463,GSM1068465,GSM1068466,GSM1068467,GSM1068469,GSM1068470,GSM1068471,GSM1068475,GSM1068528,GSM1068531,GSM1068532,GSM1068533,GSM1068535,GSM1068537,GSM1068538,GSM1068539,GSM1068540,GSM1068542,GSM1068543,GSM1068544,GSM1068545,GSM1068546,GSM1068547,GSM1068548,GSM1068549,GSM1068550,GSM1068551,GSM1068552,GSM1068555,GSM1068556,GSM1068557,GSM1068560,GSM1068561,GSM1068562,GSM1068563,GSM1068565,GSM1068529,GSM1068530,GSM1068534,GSM1068536,GSM1068541,GSM1068553,GSM1068554,GSM1068558,GSM1068559,GSM1068564
A_23_P100196,USP10,11.2083,11.8272,11.5905,10.6323,11.4622,11.2491,11.0026,10.8501,11.1148,11.5803,11.5862,11.1628,11.2272,11.5599,11.6178,11.2135,10.7484,11.2416,11.5295,11.3409,11.7468,11.5152,11.1891,11.0556,11.3549,10.7995,11.4861,11.3946,10.7049,11.1172,11.2447,10.8486,11.4792,11.0227,11.7507,11.3451,11.4678,11.3148,11.735,11.0288,11.3603,11.0611,11.9418,10.638,11.2641,11.4619,11.1766,11.211,10.6196,11.1839,11.3527,11.0912,11.6467,10.9583,11.0213,11.0824,10.9393,11.4044,11.5221,11.6218,11.6391,11.3329,11.803,11.2236,11.54,10.9217,11.4224,11.2022,11.3195,11.7178,11.4912,10.3605,10.2093,11.4853,11.2359,11.4273,11.9348,10.9745,10.9168,11.0165,11.2341,11.2692,10.9743,11.4762,11.0658,11.0578,10.5277,11.4295,11.3711,10.9127,10.9102,10.9149,11.6763,10.9397,11.2067,11.1148,11.1389,10.9038,10.9481,10.9635,11.2504,11.2433,11.2677,11.158,11.5271,10.7022,10.9476,11.1832
A_23_P100292,ZNF598,10.744,10.8991,10.7888,10.8268,11.1206,10.98,11.1924,10.6252,10.8305,10.9978,10.8721,10.9995,11.0659,11.1342,10.9393,11.3434,11.2538,10.6701,11.2011,11.2356,11.0209,10.9978,11.1759,11.1513,11.2197,10.8171,10.8645,10.9616,11.1336,10.7723,11.1836,11.617,11.4395,11.0872,11.0625,10.871,11.0692,11.4816,10.9786,11.033,11.4109,11.0634,10.8285,11.1222,10.9626,11.3587,11.714,11.1534,11.0017,11.0253,11.3426,11.2445,11.205,11.4903,11.1503,11.0688,11.1404,11.2392,11.2069,11.1908,11.2996,11.0403,11.3265,11.1963,11.0543,11.3453,10.786,11.0747,11.2547,10.9162,11.2714,11.5728,11.7446,11.103,11.3128,11.1783,11.6288,11.2201,11.1862,11.2934,10.6471,11.4363,11.177,11.0921,10.9787,11.2799,11.383,11.1108,11.2263,11.2627,10.8351,11.1878,10.9926,11.0084,11.0422,11.2199,11.0129,11.1133,11.1652,11.5607,11.0922,11.1808,11.1797,11.4525,11.4575,11.2724,10.7347,11.1854
A_23_P100315,DECR2,9.15438,9.06026,9.6534,9.87547,10.1723,10.2358,9.55929,9.58018,9.62486,10.1225,9.76325,9.84272,9.47922,10.4131,10.0592,9.55664,9.79947,9.75044,9.78382,9.5557,10.1578,9.4634,9.82002,9.77127,9.37032,9.67212,10.3126,10.075,9.67205,9.89216,9.42346,9.41102,10.3207,10.0535,9.91761,10.5688,9.98783,9.76104,10.2069,9.43016,10.0281,9.78122,10.1646,9.44287,9.74313,9.35633,10.5862,10.0019,9.15805,9.6991,9.66041,9.03425,9.63094,9.83445,9.53173,9.78008,9.8885,10.4294,9.83538,9.48283,9.25867,9.70739,10.3121,9.7713,9.90319,10.0476,9.87853,9.62988,10.3828,10.2281,9.98872,10.7311,9.64507,11.0692,9.56134,10.2691,10.5264,9.91004,9.40423,9.31799,10.2904,9.83072,9.99772,9.89651,9.63804,10.0408,9.50673,10.1329,10.5149,9.6235,9.62666,9.01329,9.40776,9.83488,9.37127,9.08712,10.0849,10.0929,9.91142,9.90841,10.0347,10.1915,9.36203,9.95902,9.71405,9.61839,9.7282,9.88136
A_23_P100326,NPRL3,9.05419,9.29047,9.75457,9.80761,10.1633,9.6901,10.0829,9.48937,9.29153,9.7369,9.07056,10.0179,8.94672,10.0316,9.40765,9.94219,8.7608,8.84321,9.54121,10.2522,9.40401,9.89531,9.2883,9.55646,9.85239,9.73427,9.81783,9.73063,10.031,9.46068,9.79407,9.60643,9.56487,9.71542,9.0269,9.47519,9.41707,9.83263,9.74846,10.0898,10.1232,9.81778,9.47974,9.89981,9.50773,9.48219,9.58463,9.05932,8.69227,9.94403,9.41764,9.82817,9.03464,9.64413,9.80781,9.89998,9.81305,10.2079,9.75493,8.79326,9.41653,9.53483,9.7895,10.2031,9.97538,9.69462,9.64924,9.85218,9.6816,10.1299,9.0717,9.98944,9.98698,9.39634,9.97779,9.85258,9.98853,9.69976,9.44612,10.088,9.4075,8.54431,10.1911,10.3925,9.83368,10.0406,9.88632,9.75467,9.49314,9.95775,9.66214,9.14576,9.79327,9.48997,7.96015,10.0611,9.60206,9.75044,9.86412,10.187,9.83867,10.0357,10.2496,10.2647,10.381,9.23328,9.39025,9.87923
A_23_P100341,ORC6,12.421,13.9344,13.4421,13.2404,14.2954,12.423,14.3725,13.7791,14.0809,13.8032,14.3104,13.0789,11.6333,12.9428,13.9224,12.3648,12.6761,13.2939,14.529,14.447,14.2502,14.6828,13.6625,13.3429,13.3654,14.2575,13.604,14.3817,12.5797,13.7288,12.8482,13.3775,14.8725,13.3414,14.1571,12.4524,14.3108,12.7655,14.0092,12.565,14.3427,13.6982,13.6138,15.3354,13.8073,13.1596,13.3666,13.2474,13.9107,14.3179,13.8939,12.805,13.1602,13.4037,14.799,14.1165,13.8849,14.4847,14.5346,13.1736,13.3646,13.2865,14.138,14.1504,13.4722,13.4098,13.5058,13.7848,14.4977,14.5141,12.7332,13.1312,13.7507,12.7159,14.3083,13.9315,13.8712,12.9364,13.0378,14.5701,12.9432,12.1681,14.5453,12.4589,13.6804,14.9961,13.0031,14.2932,13.6939,14.7089,13.046,15.1805,13.0996,13.1714,13.0145,13.7221,15.2868,13.8653,13.0132,13.8472,13.9314,12.9403,14.2703,14.7448,14.5931,13.1088,13.3808,14.8646
