ID_REF,IDENTIFIER,GSM1068478,GSM1068479,GSM1068481,GSM1068482,GSM1068483,GSM1068486,GSM1068487,GSM1068488,GSM1068490,GSM1068491,GSM1068492,GSM1068493,GSM1068494,GSM1068495,GSM1068496,GSM1068498,GSM1068499,GSM1068500,GSM1068502,GSM1068503,GSM1068505,GSM1068506,GSM1068507,GSM1068508,GSM1068510,GSM1068512,GSM1068513,GSM1068514,GSM1068517,GSM1068518,GSM1068520,GSM1068521,GSM1068522,GSM1068524,GSM1068527,GSM1068480,GSM1068484,GSM1068485,GSM1068489,GSM1068497,GSM1068501,GSM1068504,GSM1068509,GSM1068511,GSM1068515,GSM1068516,GSM1068519,GSM1068523,GSM1068525,GSM1068526,GSM1068458,GSM1068459,GSM1068460,GSM1068461,GSM1068464,GSM1068468,GSM1068472,GSM1068473,GSM1068474,GSM1068476,GSM1068477,GSM1068462,GSM1068463,GSM1068465,GSM1068466,GSM1068467,GSM1068469,GSM1068470,GSM1068471,GSM1068475,GSM1068528,GSM1068531,GSM1068532,GSM1068533,GSM1068535,GSM1068537,GSM1068538,GSM1068539,GSM1068540,GSM1068542,GSM1068543,GSM1068544,GSM1068545,GSM1068546,GSM1068547,GSM1068548,GSM1068549,GSM1068550,GSM1068551,GSM1068552,GSM1068555,GSM1068556,GSM1068557,GSM1068560,GSM1068561,GSM1068562,GSM1068563,GSM1068565,GSM1068529,GSM1068530,GSM1068534,GSM1068536,GSM1068541,GSM1068553,GSM1068554,GSM1068558,GSM1068559,GSM1068564
A_23_P100011,AP3S2,6.68845,6.29378,5.77885,6.20746,4.7852,5.38453,5.88975,6.39307,6.00136,5.68254,5.95714,5.67779,6.74034,6.35601,5.61099,6.62565,6.31916,6.40693,5.19555,6.19077,5.85951,6.4941,6.58236,6.26099,6.52714,6.51948,6.41427,5.70883,6.33039,6.26036,6.20242,5.94214,5.0369,6.48535,6.12247,5.79675,5.81072,5.7294,6.00618,6.26296,5.83011,6.57679,4.96956,6.48368,6.01286,5.98603,6.04446,6.57715,6.20802,5.95251,7.12339,5.71381,6.13611,6.34061,6.0212,5.75553,5.66791,5.58193,6.46421,6.49709,5.64214,5.79401,6.12292,5.85755,6.27854,6.27389,6.0057,6.27989,5.75693,5.96002,5.15579,6.02141,5.81462,5.79652,6.30149,5.77316,6.09637,6.11235,5.76936,5.85617,6.11452,5.60082,5.98538,6.35644,5.68928,5.82192,5.86333,6.33869,5.89794,5.73583,6.33731,5.77639,6.0611,6.14981,6.47363,5.93867,5.90826,6.96678,6.53933,5.77446,5.8417,5.98821,5.76583,5.92124,5.72922,6.91738,6.35952,6.13216
A_24_P287683,AP3S2,11.4354,10.9382,10.8572,11.2125,10.6937,10.7564,10.7427,10.8083,10.7428,10.6819,10.5949,11.1974,10.9274,10.9125,10.7039,10.7657,11.1032,10.9961,10.6359,11.0999,10.763,11.0036,11.3038,10.8438,11.0801,11.0549,10.9552,10.6672,10.7348,10.429,11.1377,10.7249,10.2984,11.0416,10.9884,10.9363,10.6028,11.2449,10.4319,11.0487,10.7128,10.8375,10.8331,10.359,10.4083,10.9146,10.9344,10.7606,10.6366,10.7876,11.0322,10.8097,11.1401,10.728,11.4382,10.7679,11.1286,10.6787,10.8647,11.1861,10.4347,10.6812,11.1067,10.804,11.0619,11.1764,10.8426,10.9053,10.8183,10.5914,10.6794,10.7772,10.6211,10.6688,11.2359,10.6708,11.3095,11.0374,10.6473,10.6817,10.5631,10.6784,10.5943,11.1213,10.4771,10.2918,10.8707,11.0991,10.6737,10.4285,10.7543,10.46,10.7005,10.8109,11.3257,10.7174,10.8528,11.4487,11.1062,11.0494,11.1007,10.8334,10.7683,11.0671,11.1801,11.2925,10.7079,10.814
A_24_P287691,AP3S2,10.481,9.72255,10.1507,9.7402,9.63713,9.80638,9.50608,9.70755,9.50028,9.53647,9.60429,9.7861,10.0533,9.71452,9.8322,9.49794,9.71457,10.2929,9.2928,9.72427,9.77321,10.0133,10.2006,9.87029,10.157,9.88842,9.94682,9.39685,9.71294,9.25608,10.1124,9.12389,9.50268,9.8962,9.85743,10.1843,9.44853,9.79595,9.60338,10.0987,9.28706,9.77369,9.351,9.04469,9.12862,9.75394,9.5289,9.65245,9.51215,9.64805,9.96274,9.93999,9.94022,9.18899,9.91647,9.59284,9.94962,9.39311,9.72412,9.94175,9.29991,9.61603,9.66607,9.56209,10.0292,9.9389,9.77899,9.89108,9.54736,9.33652,9.35933,9.90839,9.43268,9.81058,10.2089,9.59366,9.85973,9.55004,9.54826,9.26089,9.85551,9.35075,9.23083,10.367,9.38668,9.13666,9.79581,9.96776,9.69921,9.19301,9.51977,9.28293,9.58372,9.71515,10.2311,9.6152,9.53897,10.3059,9.97878,9.64521,9.95225,9.90645,9.27646,9.59075,9.67576,10.2125,9.42438,9.77668
